recipient,country,year,value
Iran,China,1981,1
Iran,China,1982,193
Iran,China,1983,219
Iran,China,1984,180
Iran,China,1985,126
Iran,China,1986,516
Iran,China,1987,539
Iran,China,1988,184
Iran,China,1989,60
Iran,China,1990,87
Iran,China,1991,96
Iran,China,1992,103
Iran,China,1993,304
Iran,China,1994,274
Iran,China,1995,58
Iran,China,1996,320
Iran,China,1997,54
Iran,China,1998,70
Iran,China,1999,64
Iran,China,2000,69
Iran,China,2001,80
Iran,China,2002,81
Iran,China,2003,84
Iran,China,2004,80
Iran,China,2005,43
Iran,China,2006,54
Iran,China,2007,47
Iran,China,2008,47
Iran,China,2009,47
Iran,China,2010,62
Iran,China,2011,55
Iran,China,2012,32
Iran,China,2013,9
Iran,China,2014,9
Iran,East Germany (GDR),1980,0
Iran,East Germany (GDR),1981,0
Iran,East Germany (GDR),1982,0
Iran,East Germany (GDR),1983,0
Iran,East Germany (GDR),1984,0
Iran,East Germany (GDR),1985,0
Iran,East Germany (GDR),1986,0
Iran,East Germany (GDR),1987,0
Iran,East Germany (GDR),1988,0
Iran,East Germany (GDR),1989,8
Iran,East Germany (GDR),1990,0
Iran,East Germany (GDR),1991,0
Iran,East Germany (GDR),1992,0
Iran,East Germany (GDR),1993,0
Iran,East Germany (GDR),1994,0
Iran,East Germany (GDR),1995,0
Iran,East Germany (GDR),1996,0
Iran,East Germany (GDR),1997,0
Iran,East Germany (GDR),1998,0
Iran,East Germany (GDR),1999,0
Iran,East Germany (GDR),2000,0
Iran,East Germany (GDR),2001,0
Iran,East Germany (GDR),2002,0
Iran,East Germany (GDR),2003,0
Iran,East Germany (GDR),2004,0
Iran,East Germany (GDR),2005,0
Iran,East Germany (GDR),2006,0
Iran,East Germany (GDR),2007,0
Iran,East Germany (GDR),2008,0
Iran,East Germany (GDR),2009,0
Iran,East Germany (GDR),2010,0
Iran,East Germany (GDR),2011,0
Iran,East Germany (GDR),2012,0
Iran,East Germany (GDR),2013,0
Iran,East Germany (GDR),2014,0
Iran,Ethiopia,1980,0
Iran,Ethiopia,1981,0
Iran,Ethiopia,1982,0
Iran,Ethiopia,1983,0
Iran,Ethiopia,1984,0
Iran,Ethiopia,1985,22
Iran,Ethiopia,1986,0
Iran,Ethiopia,1987,0
Iran,Ethiopia,1988,0
Iran,Ethiopia,1989,0
Iran,Ethiopia,1990,0
Iran,Ethiopia,1991,0
Iran,Ethiopia,1992,0
Iran,Ethiopia,1993,0
Iran,Ethiopia,1994,0
Iran,Ethiopia,1995,0
Iran,Ethiopia,1996,0
Iran,Ethiopia,1997,0
Iran,Ethiopia,1998,0
Iran,Ethiopia,1999,0
Iran,Ethiopia,2000,0
Iran,Ethiopia,2001,0
Iran,Ethiopia,2002,0
Iran,Ethiopia,2003,0
Iran,Ethiopia,2004,0
Iran,Ethiopia,2005,0
Iran,Ethiopia,2006,0
Iran,Ethiopia,2007,0
Iran,Ethiopia,2008,0
Iran,Ethiopia,2009,0
Iran,Ethiopia,2010,0
Iran,Ethiopia,2011,0
Iran,Ethiopia,2012,0
Iran,Ethiopia,2013,0
Iran,Ethiopia,2014,0
Iran,France,1980,0
Iran,France,1981,143
Iran,France,1982,0
Iran,France,1983,0
Iran,France,1984,0
Iran,France,1985,0
Iran,France,1986,0
Iran,France,1987,0
Iran,France,1988,0
Iran,France,1989,0
Iran,France,1990,0
Iran,France,1991,0
Iran,France,1992,0
Iran,France,1993,0
Iran,France,1994,0
Iran,France,1995,0
Iran,France,1996,2
Iran,France,1997,0
Iran,France,1998,0
Iran,France,1999,0
Iran,France,2000,0
Iran,France,2001,0
Iran,France,2002,0
Iran,France,2003,0
Iran,France,2004,0
Iran,France,2005,0
Iran,France,2006,0
Iran,France,2007,0
Iran,France,2008,0
Iran,France,2009,0
Iran,France,2010,0
Iran,France,2011,0
Iran,France,2012,0
Iran,France,2013,0
Iran,France,2014,0
Iran,Israel,1980,0
Iran,Israel,1981,0
Iran,Israel,1982,0
Iran,Israel,1983,0
Iran,Israel,1984,0
Iran,Israel,1985,22
Iran,Israel,1986,22
Iran,Israel,1987,0
Iran,Israel,1988,0
Iran,Israel,1989,0
Iran,Israel,1990,0
Iran,Israel,1991,0
Iran,Israel,1992,0
Iran,Israel,1993,0
Iran,Israel,1994,0
Iran,Israel,1995,0
Iran,Israel,1996,0
Iran,Israel,1997,0
Iran,Israel,1998,0
Iran,Israel,1999,0
Iran,Israel,2000,0
Iran,Israel,2001,0
Iran,Israel,2002,0
Iran,Israel,2003,0
Iran,Israel,2004,0
Iran,Israel,2005,0
Iran,Israel,2006,0
Iran,Israel,2007,0
Iran,Israel,2008,0
Iran,Israel,2009,0
Iran,Israel,2010,0
Iran,Israel,2011,0
Iran,Israel,2012,0
Iran,Israel,2013,0
Iran,Israel,2014,0
Iran,Italy,1980,44
Iran,Italy,1981,172
Iran,Italy,1982,0
Iran,Italy,1983,0
Iran,Italy,1984,0
Iran,Italy,1985,0
Iran,Italy,1986,0
Iran,Italy,1987,0
Iran,Italy,1988,0
Iran,Italy,1989,0
Iran,Italy,1990,0
Iran,Italy,1991,0
Iran,Italy,1992,0
Iran,Italy,1993,0
Iran,Italy,1994,0
Iran,Italy,1995,0
Iran,Italy,1996,0
Iran,Italy,1997,0
Iran,Italy,1998,0
Iran,Italy,1999,0
Iran,Italy,2000,0
Iran,Italy,2001,0
Iran,Italy,2002,0
Iran,Italy,2003,0
Iran,Italy,2004,0
Iran,Italy,2005,0
Iran,Italy,2006,0
Iran,Italy,2007,0
Iran,Italy,2008,0
Iran,Italy,2009,0
Iran,Italy,2010,0
Iran,Italy,2011,0
Iran,Italy,2012,0
Iran,Italy,2013,0
Iran,Italy,2014,0
Iran,Japan,1980,125
Iran,Japan,1981,0
Iran,Japan,1982,0
Iran,Japan,1983,0
Iran,Japan,1984,0
Iran,Japan,1985,0
Iran,Japan,1986,0
Iran,Japan,1987,0
Iran,Japan,1988,0
Iran,Japan,1989,0
Iran,Japan,1990,0
Iran,Japan,1991,0
Iran,Japan,1992,0
Iran,Japan,1993,0
Iran,Japan,1994,0
Iran,Japan,1995,0
Iran,Japan,1996,0
Iran,Japan,1997,0
Iran,Japan,1998,0
Iran,Japan,1999,0
Iran,Japan,2000,0
Iran,Japan,2001,0
Iran,Japan,2002,0
Iran,Japan,2003,0
Iran,Japan,2004,0
Iran,Japan,2005,0
Iran,Japan,2006,0
Iran,Japan,2007,0
Iran,Japan,2008,0
Iran,Japan,2009,0
Iran,Japan,2010,0
Iran,Japan,2011,0
Iran,Japan,2012,0
Iran,Japan,2013,0
Iran,Japan,2014,0
Iran,Libya,1980,94
Iran,Libya,1981,106
Iran,Libya,1982,0
Iran,Libya,1983,0
Iran,Libya,1984,0
Iran,Libya,1985,13
Iran,Libya,1986,6
Iran,Libya,1987,6
Iran,Libya,1988,0
Iran,Libya,1989,0
Iran,Libya,1990,0
Iran,Libya,1991,0
Iran,Libya,1992,0
Iran,Libya,1993,0
Iran,Libya,1994,0
Iran,Libya,1995,0
Iran,Libya,1996,0
Iran,Libya,1997,0
Iran,Libya,1998,0
Iran,Libya,1999,0
Iran,Libya,2000,0
Iran,Libya,2001,0
Iran,Libya,2002,0
Iran,Libya,2003,0
Iran,Libya,2004,0
Iran,Libya,2005,0
Iran,Libya,2006,0
Iran,Libya,2007,0
Iran,Libya,2008,0
Iran,Libya,2009,0
Iran,Libya,2010,0
Iran,Libya,2011,0
Iran,Libya,2012,0
Iran,Libya,2013,0
Iran,Libya,2014,0
Iran,Netherlands,1980,0
Iran,Netherlands,1981,31
Iran,Netherlands,1982,0
Iran,Netherlands,1983,0
Iran,Netherlands,1984,20
Iran,Netherlands,1985,40
Iran,Netherlands,1986,0
Iran,Netherlands,1987,0
Iran,Netherlands,1988,15
Iran,Netherlands,1989,15
Iran,Netherlands,1990,15
Iran,Netherlands,1991,15
Iran,Netherlands,1992,0
Iran,Netherlands,1993,8
Iran,Netherlands,1994,8
Iran,Netherlands,1995,15
Iran,Netherlands,1996,0
Iran,Netherlands,1997,0
Iran,Netherlands,1998,0
Iran,Netherlands,1999,0
Iran,Netherlands,2000,0
Iran,Netherlands,2001,0
Iran,Netherlands,2002,0
Iran,Netherlands,2003,0
Iran,Netherlands,2004,0
Iran,Netherlands,2005,0
Iran,Netherlands,2006,0
Iran,Netherlands,2007,0
Iran,Netherlands,2008,0
Iran,Netherlands,2009,0
Iran,Netherlands,2010,0
Iran,Netherlands,2011,0
Iran,Netherlands,2012,0
Iran,Netherlands,2013,0
Iran,Netherlands,2014,0
Iran,North Korea,1980,0
Iran,North Korea,1981,0
Iran,North Korea,1982,141
Iran,North Korea,1983,243
Iran,North Korea,1984,68
Iran,North Korea,1985,40
Iran,North Korea,1986,48
Iran,North Korea,1987,188
Iran,North Korea,1988,189
Iran,North Korea,1989,14
Iran,North Korea,1990,4
Iran,North Korea,1991,92
Iran,North Korea,1992,109
Iran,North Korea,1993,115
Iran,North Korea,1994,6
Iran,North Korea,1995,6
Iran,North Korea,1996,4
Iran,North Korea,1997,4
Iran,North Korea,1998,2
Iran,North Korea,1999,0
Iran,North Korea,2000,0
Iran,North Korea,2001,0
Iran,North Korea,2002,116
Iran,North Korea,2003,114
Iran,North Korea,2004,27
Iran,North Korea,2005,0
Iran,North Korea,2006,0
Iran,North Korea,2007,0
Iran,North Korea,2008,0
Iran,North Korea,2009,0
Iran,North Korea,2010,0
Iran,North Korea,2011,0
Iran,North Korea,2012,0
Iran,North Korea,2013,0
Iran,North Korea,2014,0
Iran,Pakistan,1980,15
Iran,Pakistan,1981,30
Iran,Pakistan,1982,30
Iran,Pakistan,1983,0
Iran,Pakistan,1984,0
Iran,Pakistan,1985,0
Iran,Pakistan,1986,0
Iran,Pakistan,1987,0
Iran,Pakistan,1988,0
Iran,Pakistan,1989,1
Iran,Pakistan,1990,2
Iran,Pakistan,1991,3
Iran,Pakistan,1992,0
Iran,Pakistan,1993,0
Iran,Pakistan,1994,0
Iran,Pakistan,1995,0
Iran,Pakistan,1996,0
Iran,Pakistan,1997,0
Iran,Pakistan,1998,0
Iran,Pakistan,1999,0
Iran,Pakistan,2000,0
Iran,Pakistan,2001,0
Iran,Pakistan,2002,0.5
Iran,Pakistan,2003,0
Iran,Pakistan,2004,0
Iran,Pakistan,2005,0
Iran,Pakistan,2006,0
Iran,Pakistan,2007,0
Iran,Pakistan,2008,0
Iran,Pakistan,2009,0
Iran,Pakistan,2010,0
Iran,Pakistan,2011,0
Iran,Pakistan,2012,0
Iran,Pakistan,2013,0
Iran,Pakistan,2014,0
Iran,Poland,1980,0
Iran,Poland,1981,0
Iran,Poland,1982,0
Iran,Poland,1983,0
Iran,Poland,1984,0
Iran,Poland,1985,0
Iran,Poland,1986,0
Iran,Poland,1987,0
Iran,Poland,1988,0
Iran,Poland,1989,0
Iran,Poland,1990,0
Iran,Poland,1991,0
Iran,Poland,1992,0
Iran,Poland,1993,0
Iran,Poland,1994,83
Iran,Poland,1995,171
Iran,Poland,1996,0
Iran,Poland,1997,0
Iran,Poland,1998,0
Iran,Poland,1999,0
Iran,Poland,2000,0
Iran,Poland,2001,0
Iran,Poland,2002,0
Iran,Poland,2003,0
Iran,Poland,2004,0
Iran,Poland,2005,0
Iran,Poland,2006,0
Iran,Poland,2007,0
Iran,Poland,2008,0
Iran,Poland,2009,0
Iran,Poland,2010,0
Iran,Poland,2011,0
Iran,Poland,2012,0
Iran,Poland,2013,0
