recipient,country,year,value
Iran,Israel,2008,
Iran,Israel,2009,
Iran,Israel,2010,
Iran,Israel,2011,
Iran,Israel,2012,
Iran,Israel,2013,
Iran,Israel,2014,
Iran,Italy,1980,44
Iran,Italy,1981,172
Iran,Italy,1982,
Iran,Italy,1983,
Iran,Italy,1984,
Iran,Italy,1985,
Iran,Italy,1986,
Iran,Italy,1987,
Iran,Italy,1988,
Iran,Italy,1989,
Iran,Italy,1990,
Iran,Italy,1991,
Iran,Italy,1992,
Iran,Italy,1993,
Iran,Italy,1994,
Iran,Italy,1995,
Iran,Italy,1996,
Iran,Italy,1997,
Iran,Italy,1998,
Iran,Italy,1999,
Iran,Italy,2000,
Iran,Italy,2001,
Iran,Italy,2002,
Iran,Italy,2003,
Iran,Italy,2004,
Iran,Italy,2005,
Iran,Italy,2006,
Iran,Italy,2007,
Iran,Italy,2008,
Iran,Italy,2009,
Iran,Italy,2010,
Iran,Italy,2011,
Iran,Italy,2012,
Iran,Italy,2013,
Iran,Italy,2014,
Iran,Japan,1980,125
Iran,Japan,1981,
Iran,Japan,1982,
Iran,Japan,1983,
Iran,Japan,1984,
Iran,Japan,1985,
Iran,Japan,1986,
Iran,Japan,1987,
Iran,Japan,1988,
Iran,Japan,1989,
Iran,Japan,1990,
Iran,Japan,1991,
Iran,Japan,1992,
Iran,Japan,1993,
Iran,Japan,1994,
Iran,Japan,1995,
Iran,Japan,1996,
Iran,Japan,1997,
Iran,Japan,1998,
Iran,Japan,1999,
Iran,Japan,2000,
Iran,Japan,2001,
Iran,Japan,2002,
Iran,Japan,2003,
Iran,Japan,2004,
Iran,Japan,2005,
Iran,Japan,2006,
Iran,Japan,2007,
Iran,Japan,2008,
Iran,Japan,2009,
Iran,Japan,2010,
Iran,Japan,2011,
Iran,Japan,2012,
Iran,Japan,2013,
Iran,Japan,2014,
Iran,Libya,1980,94
Iran,Libya,1981,106
Iran,Libya,1982,
Iran,Libya,1983,
Iran,Libya,1984,
Iran,Libya,1985,13
Iran,Libya,1986,6
Iran,Libya,1987,6
Iran,Libya,1988,
Iran,Libya,1989,
Iran,Libya,1990,
Iran,Libya,1991,
Iran,Libya,1992,
Iran,Libya,1993,
Iran,Libya,1994,
Iran,Libya,1995,
Iran,Libya,1996,
Iran,Libya,1997,
Iran,Libya,1998,
Iran,Libya,1999,
Iran,Libya,2000,
Iran,Libya,2001,
Iran,Libya,2002,
Iran,Libya,2003,
Iran,Libya,2004,
Iran,Libya,2005,
Iran,Libya,2006,
Iran,Libya,2007,
Iran,Libya,2008,
Iran,Libya,2009,
Iran,Libya,2010,
Iran,Libya,2011,
Iran,Libya,2012,
Iran,Libya,2013,
Iran,Libya,2014,
Iran,Netherlands,1980,
Iran,Netherlands,1981,31
Iran,Netherlands,1982,
Iran,Netherlands,1983,
Iran,Netherlands,1984,20
Iran,Netherlands,1985,40
Iran,Netherlands,1986,
Iran,Netherlands,1987,
Iran,Netherlands,1988,15
Iran,Netherlands,1989,15
Iran,Netherlands,1990,15
Iran,Netherlands,1991,15
Iran,Netherlands,1992,
Iran,Netherlands,1993,8
Iran,Netherlands,1994,8
Iran,Netherlands,1995,15
Iran,Netherlands,1996,
Iran,Netherlands,1997,
Iran,Netherlands,1998,
Iran,Netherlands,1999,
Iran,Netherlands,2000,
Iran,Netherlands,2001,
Iran,Netherlands,2002,
Iran,Netherlands,2003,
Iran,Netherlands,2004,
Iran,Netherlands,2005,
Iran,Netherlands,2006,
Iran,Netherlands,2007,
Iran,Netherlands,2008,
Iran,Netherlands,2009,
Iran,Netherlands,2010,
Iran,Netherlands,2011,
Iran,Netherlands,2012,
Iran,Netherlands,2013,
Iran,Netherlands,2014,
Iran,North Korea,1980,
Iran,North Korea,1981,
Iran,North Korea,1982,141
Iran,North Korea,1983,243
Iran,North Korea,1984,68
Iran,North Korea,1985,40
Iran,North Korea,1986,48
Iran,North Korea,1987,188
Iran,North Korea,1988,189
Iran,North Korea,1989,14
Iran,North Korea,1990,4
Iran,North Korea,1991,92
Iran,North Korea,1992,109
Iran,North Korea,1993,115
Iran,North Korea,1994,6
Iran,North Korea,1995,6
Iran,North Korea,1996,4
Iran,North Korea,1997,4
Iran,North Korea,1998,2
Iran,North Korea,1999,
Iran,North Korea,2000,
Iran,North Korea,2001,
Iran,North Korea,2002,116
Iran,North Korea,2003,114
Iran,North Korea,2004,27
Iran,North Korea,2005,
Iran,North Korea,2006,
Iran,North Korea,2007,
Iran,North Korea,2008,
Iran,North Korea,2009,
Iran,North Korea,2010,
Iran,North Korea,2011,
Iran,North Korea,2012,
Iran,North Korea,2013,
Iran,North Korea,2014,
Iran,Pakistan,1980,15
Iran,Pakistan,1981,30
Iran,Pakistan,1982,30
Iran,Pakistan,1983,
Iran,Pakistan,1984,
Iran,Pakistan,1985,
Iran,Pakistan,1986,
Iran,Pakistan,1987,
Iran,Pakistan,1988,
Iran,Pakistan,1989,1
Iran,Pakistan,1990,2
Iran,Pakistan,1991,3
Iran,Pakistan,1992,
Iran,Pakistan,1993,
Iran,Pakistan,1994,
Iran,Pakistan,1995,
Iran,Pakistan,1996,
Iran,Pakistan,1997,
Iran,Pakistan,1998,
Iran,Pakistan,1999,
Iran,Pakistan,2000,
Iran,Pakistan,2001,
Iran,Pakistan,2002,0
Iran,Pakistan,2003,
Iran,Pakistan,2004,
Iran,Pakistan,2005,
Iran,Pakistan,2006,
Iran,Pakistan,2007,
Iran,Pakistan,2008,
Iran,Pakistan,2009,
Iran,Pakistan,2010,
Iran,Pakistan,2011,
Iran,Pakistan,2012,
Iran,Pakistan,2013,
Iran,Pakistan,2014,
Iran,Poland,1980,
Iran,Poland,1981,
Iran,Poland,1982,
Iran,Poland,1983,
Iran,Poland,1984,
Iran,Poland,1985,
Iran,Poland,1986,
Iran,Poland,1987,
Iran,Poland,1988,
Iran,Poland,1989,
Iran,Poland,1990,
Iran,Poland,1991,
Iran,Poland,1992,
Iran,Poland,1993,
Iran,Poland,1994,83
Iran,Poland,1995,171
Iran,Poland,1996,
Iran,Poland,1997,
Iran,Poland,1998,
Iran,Poland,1999,
Iran,Poland,2000,
Iran,Poland,2001,
Iran,Poland,2002,
Iran,Poland,2003,
Iran,Poland,2004,
Iran,Poland,2005,
Iran,Poland,2006,
Iran,Poland,2007,
Iran,Poland,2008,
Iran,Poland,2009,
Iran,Poland,2010,
Iran,Poland,2011,
Iran,Poland,2012,
Iran,Poland,2013,
Iran,Poland,2014,
Iran,Russia,1980,
Iran,Russia,1981,
Iran,Russia,1982,
Iran,Russia,1983,
Iran,Russia,1984,
Iran,Russia,1985,
Iran,Russia,1986,
Iran,Russia,1987,
Iran,Russia,1988,
Iran,Russia,1989,
Iran,Russia,1990,
Iran,Russia,1991,
Iran,Russia,1992,220
Iran,Russia,1993,559
Iran,Russia,1994,83
Iran,Russia,1995,47
Iran,Russia,1996,289
Iran,Russia,1997,119
Iran,Russia,1998,256
Iran,Russia,1999,258
