U.S. Custom Ports,Address,bing_type,bing_confidence,bing_latitude,bing_longitude,Coast,Year,Value
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2008,43014.88
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2009,99097.28000000003
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2010,67686.89
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2011,24418.76
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2012,18310.09
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2013,0.0
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2014,2123.75
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,1997,8996836.41000001
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,1998,9214323.009999972
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,1999,1.0361472589999987E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2000,1.073544538000001E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2001,9887520.659999996
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2002,1.0288691050000029E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2003,1.014614923000001E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2004,1.172756506000005E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2005,1.2628991529999992E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2006,1.2336741829999989E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2007,1.1795628689999998E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2008,1.1123718600000007E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2009,8192744.51
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2010,9391524.080000008
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2011,9830885.379999997
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2012,1.0374639689999996E7
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2013,1.090096039E7
